Site,Year,Species,Band No,Date,Age,Sex,Fat,Wing,Mass,F tissue code,corr dD non-ex H,corr dD ex + non-ex H,C tissue code,Linear corr d13C,wt %C,wt %N,Linear corr d15N,,,,,,,,
JOB,2012,WOTH,1991-53067,04/06/12,SY,U,1,105.5,38.6,JOWO6a,-57.17,-29.27,JOWO6a,-25.36,47.81,14.93,no_data,,,,,,,,
JOB,2012,WOTH,1991-53067,04/06/12,SY,U,1,105.5,38.6,JOWO6b,-56.19,-28.23,JOWOb6,no_data,no_data,no_data,no_data,,,,,,,,
JOB,2012,WOTH,1991-53068,04/06/12,SY,U,3,106,45.5,JOWO7,-40.48,-11.62,JOWO7,-24.33,47.51,14.74,no_data,,,,,,,,
JOB,2012,WOTH,1991-53070,04/07/12,SY,U,3,99.5,43.4,JOWO8,-35.98,-1.79,JOWO8,-24.49,48.23,15.2,no_data,,,,,,,,
JOB,2012,WOTH,1991-53071,04/07/12,SY,U,2,105,42.3,JOWO9,-48.11,-15.31,JOWO9,-18.41,48.25,15.06,no_data,,,,,,,,
MAD,2012,WOTH,2211-14306,04/10/12,AHY,U,0,103,42.1,MAWO1a,-44.47,-11.26,MAWO1a,-23.03,48.45,15.24,no_data,,,,,,,,
MAD,2012,WOTH,2211-14306,04/10/12,AHY,U,0,103,42.1,MAWO1b,-48.62,-15.89,MAWO1b,no_data,no_data,no_data,no_data,,,,,,,,
MAD,2012,WOTH,2211-14367,04/18/12,AHY,U,4,104,56.3,MAWO2,-80.59,-51.53,MAWO2,-23.26,44.71,14.07,no_data,,,,,,,,
MAD,2012,WOTH,2211-14378,04/18/12,ASY,U,2,106,41.9,MAWO3a,-70.21,-39.95,MAWO3a,-23.62,48.77,15.35,no_data,,,,,,,,
MAD,2012,WOTH,2211-14378,04/18/12,ASY,U,2,106,41.9,MAWO3b,no_data,no_data,MAWO3b,-23.59,48.53,15.47,no_data,,,,,,,,
MAD,2012,WOTH,2211-14394,04/19/12,SY,U,0,112,39,MAWO4,-83.15,-54.38,MAWO4,-22.9,47.29,15.24,no_data,,,,,,,,
MAD,2012,WOTH,2211-14432,04/22/12,SY,U,1,104,42.3,MAWO5a,-62.28,-31.11,MAWO5a,-23.76,48.01,15.2,no_data,,,,,,,,
MAD,2012,WOTH,2211-14432,04/22/12,SY,U,1,104,42.3,MAWO5b,no_data,no_data,MAWO5b,-23.85,45.73,14.32,no_data,,,,,,,,
MAD,2012,WOTH,2211-14433,04/22/12,SY,U,2,102,51.4,MAWO6,-91.91,-64.15,MAWO6,-23.36,46.42,14.52,no_data,,,,,,,,
MAD,2012,WOTH,2211-14449,04/24/12,ASY,U,2,102,40.2,MAWO7,-60.3,-28.91,MAWO7,-22.49,32.62,10.31,no_data,,,,,,,,
MAD,2012,WOTH,2411-64835,05/09/12,SY,U,0,109,35.2,MAWO8,-39.62,-5.85,MAWO8,-24.48,48.01,14.58,no_data,,,,,,,,
APP,2013,WOTH,no_data,no_data,no_data,no_data,no_data,no_data,no_data,APWO1,-61.41,-33.75,APWO1,-24.21,50.14,15.94,no_data,,,,,,,,
JOB,2013,WOTH,1991-53826,04/01/13,AHY,U,2,104.5,44,JOWO42,-29.4,4.76,JOWO42,-22.26,48.74,15.05,no_data,,,,,,,,
JOB,2013,WOTH,1991-53827,04/03/13,AHY,U,2,104,40.5,JOWO43a,-34.66,-0.98,JOWO43a,-24.16,49.05,15.45,no_data,,,,,,,,
JOB,2013,WOTH,1991-53827,04/03/13,AHY,U,2,104,40.5,JOWO43b,no_data,no_data,JOWO43b,-23.88,47.45,15.01,no_data,,,,,,,,
JOB,2013,WOTH,1991-53829,04/03/13,AHY,U,3,109,53,JOWO44,-45.59,-12.89,JOWO44,-23.96,43.35,13.49,no_data,,,,,,,,
JOB,2013,WOTH,1991-53834,04/05/13,ASY,U,2,102.5,46,JOWO45a,-37.16,-3.7,JOWO45a,-21.09,49.06,15.07,no_data,,,,,,,,
JOB,2013,WOTH,1991-53834,04/05/13,ASY,U,2,102.5,46,JOWO45b,-34.56,-0.87,JOWO45b,no_data,no_data,no_data,no_data,,,,,,,,
JOB,2013,WOTH,1991-53845,04/14/13,SY,U,1,107,40.6,JOWO47,-50.17,-17.88,JOWO47,-24.24,47.54,14.74,no_data,,,,,,,,
JOB,2013,WOTH,1991-53870,04/16/13,ASY,U,2,109,42.9,JOWO48,-41.23,-8.14,JOWO48,-24.35,48.79,15.48,no_data,,,,,,,,
JOB,2013,WOTH,1991-53883,04/17/13,AHY,U,1,102,45.5,JOWO49,-50.06,-22.3,JOWO49,-24.24,48.29,15.28,no_data,,,,,,,,
JOB,2013,WOTH,1991-53896,04/17/13,SY,U,1,104,46,JOWO50,-67.73,-41.62,JOWO50,-24.22,48.77,15.23,no_data,,,,,,,,
JOB,2013,WOTH,1991-53901,04/17/13,ASY,U,2,104,52.2,JOWO51,-40.09,-11.41,JOWO51,-23.39,47.28,14.77,no_data,,,,,,,,
JOB,2013,WOTH,1991-53933,04/20/13,SY,U,2,107,41.5,JOWO52,-49.28,-21.46,JOWO52,-24.41,47.67,14.88,no_data,,,,,,,,
JOB,2013,WOTH,1991-53938,04/20/13,ASY,U,2,107,40.1,JOWO53,-35.56,-6.46,JOWO53,-24.09,47,16.09,no_data,,,,,,,,
JOB,2013,WOTH,1991-53946,04/21/13,SY,U,1,106,40.4,JOWO54,-51.82,-24.23,JOWO54,-22.61,44.63,13.95,no_data,,,,,,,,
JOB,2013,WOTH,1991-53955,04/22/13,SY,U,1,108,40.1,JOWO55,-54.88,-27.57,JOWO55,-24.13,48.12,15.08,no_data,,,,,,,,
JOB,2013,WOTH,1991-53983,04/23/13,SY,U,2,108,44.9,JOWO56,-38.29,-9.44,JOWO56,-22.87,49.11,15.17,no_data,,,,,,,,
JOB,2013,WOTH,2531-59221,04/27/13,SY,U,2,104,38.7,JOWO57a,-82.52,-57.78,JOWO57a,-23.69,46.28,14.58,no_data,,,,,,,,
JOB,2013,WOTH,2531-59221,04/27/13,SY,U,2,104,38.7,JOWO57b,-84.22,-59.65,JOWO57b,-23.5,46.87,15,no_data,,,,,,,,
MAD,2013,WOTH,2411-64880,05/04/13,SY,U,1,111,38,MAWO10,-47.01,-14.09,MAWO10,no_data,no_data,no_data,no_data,,,,,,,,
MAD,2013,WOTH,2411-64892,05/05/13,SY,U,0,102,35.5,MAWO11,-36.03,-1.85,MAWO11,-23.32,49.04,14.94,no_data,,,,,,,,
MAD,2013,WOTH,2411-64897,05/05/13,AHY,U,1,98,46,MAWO12,-56.23,-24.37,MAWO12,-24.07,46.62,16.03,no_data,,,,,,,,
MAD,2013,WOTH,2561-44954,05/05/13,AHY,U,1,104,42.4,MAWO13,-45.86,-12.81,MAWO13,-24.2,46.87,15.92,no_data,,,,,,,,
MAD,2013,WOTH,2561-44958,05/05/13,SY,U,1,103,42,MAWO14,-77.36,-47.93,MAWO14,-24.21,47.5,15.7,no_data,,,,,,,,
MAD,2013,WOTH,2561-56637,04/13/13,ASY,U,1,111,43.2,MAWO15,-56.16,-24.29,MAWO15,-23.69,49.35,15.42,no_data,,,,,,,,
MAD,2013,WOTH,2561-56645,04/14/13,ASY,U,1,110,43.6,MAWO16a,-54.55,-22.5,MAWO16a,-23.13,48.24,15.24,no_data,,,,,,,,
MAD,2013,WOTH,2561-56645,04/14/13,ASY,U,1,110,43.6,MAWO16b,no_data,no_data,MAWO16b,-23.5,49.48,15.22,no_data,,,,,,,,
MAD,2013,WOTH,2561-56649,04/14/13,AHY,U,0,104,37.5,MAWO17a,-35.7,-1.48,MAWO17a,-22.79,47.41,15.06,no_data,,,,,,,,
MAD,2013,WOTH,2561-56649,04/14/13,AHY,U,0,104,37.5,MAWO17b,-34.19,0.2,MAWO17b,no_data,no_data,no_data,no_data,,,,,,,,
MAD,2013,WOTH,2561-56653,04/15/13,SY,U,1,100,44.2,MAWO18,-47.28,-18.82,MAWO18,-24.15,47.79,15.22,no_data,,,,,,,,
MAD,2013,WOTH,2561-56656,04/16/13,AHY,U,1,107,44,MAWO19,-42.7,-13.97,MAWO19,-23.76,48.21,14.97,no_data,,,,,,,,
MAD,2013,WOTH,2561-56667,04/18/13,SY,U,2,106,21.1,MAWO20a,-54.29,-26.22,MAWO20a,-23.56,41.19,11.6,no_data,,,,,,,,
MAD,2013,WOTH,2561-56667,04/18/13,SY,U,2,106,21.1,MAWO20b,no_data,no_data,MAWO20b,-22.77,45.08,13.74,no_data,,,,,,,,
MAD,2013,WOTH,2561-88303,04/21/13,SY,U,1,108,47.7,MAWO21a,-47.26,-18.79,MAWO21a,-23.37,48.6,14.87,no_data,,,,,,,,
MAD,2013,WOTH,2561-88303,04/21/13,SY,U,1,108,47.7,MAWO21b,no_data,no_data,MAWO21b,-23.15,47.91,15.11,no_data,,,,,,,,
MAD,2013,WOTH,2561-88387,04/25/13,AHY,U,1,105,42,MAWO22,-32.37,-3.05,MAWO22,-24.04,46.55,14.65,no_data,,,,,,,,
MAD,2013,WOTH,2561-88390,04/25/13,SY,U,1,105,42.1,MAWO23,-32.95,-3.66,MAWO23,-24.49,48.76,15.09,no_data,,,,,,,,
MAD,2013,WOTH,2561-88412,04/25/13,AHY,U,2,107,43.6,MAWO24a,-40.63,-11.78,MAWO24a,-23.4,47.1,14.61,no_data,,,,,,,,
MAD,2013,WOTH,2561-88412,04/25/13,AHY,U,2,107,43.6,MAWO24b,no_data,no_data,MAWO24b,-23.5,46.39,14.18,no_data,,,,,,,,
MAD,2013,WOTH,2561-88419,04/25/13,SY,U,1,107,43.8,MAWO25a,-35.7,-6.57,MAWO25a,-23.53,47.56,14.82,no_data,,,,,,,,
MAD,2013,WOTH,2561-88419,04/25/13,SY,U,1,107,43.8,MAWO25b,-28.96,0.55,MAWO25b,-23.45,47.53,14.9,no_data,,,,,,,,
MAD,2013,WOTH,2561-88420,04/25/13,SY,U,1,106,48.5,MAWO26,-44.2,-15.56,MAWO26,-24.36,47.45,14.59,no_data,,,,,,,,
MAD,2013,WOTH,2561-88426,04/25/13,AHY,U,0,108,43.3,MAWO27,-52.18,-24,MAWO27,-23.75,47.21,14.18,no_data,,,,,,,,
MAD,2013,WOTH,2561-88427,04/25/13,SY,U,2,111,50.7,MAWO28,-47.45,-18.99,MAWO28,-24.54,47.72,14.54,no_data,,,,,,,,
MAD,2013,WOTH,2561-88433,04/25/13,AHY,U,1,101,44.2,MAWO29,-42.59,-13.85,MAWO29,-24.63,44.08,13.73,no_data,,,,,,,,
MAD,2013,WOTH,2561-88449,04/26/13,SY,U,0,108,40.8,MAWO30,-54.09,-26.01,MAWO30,-23.63,39.7,11.47,no_data,,,,,,,,
MAD,2013,WOTH,2561-88450,04/26/13,SY,U,0,101,39.7,MAWO31a,-52.26,-24.08,MAWO31a,-23.72,43.17,13.16,no_data,,,,,,,,
MAD,2013,WOTH,2561-88450,04/26/13,SY,U,0,101,39.7,MAWO31b,-53.31,-25.18,MAWO31b,no_data,no_data,no_data,no_data,,,,,,,,
MAD,2013,WOTH,2561-88468,04/26/13,SY,U,0,103,44.1,MAWO32,-58.31,-30.47,MAWO32,-23.27,46.11,13.09,no_data,,,,,,,,
MAD,2013,WOTH,2561-88493,04/26/13,SY,U,1,108,37.4,MAWO33,-55.64,-27.65,MAWO33,-23.84,48.04,15,no_data,,,,,,,,
MAD,2013,WOTH,2561-88549,04/28/13,SY,U,2,102,44.8,MAWO34,-45.17,-16.58,MAWO34,-24.16,47.13,14.41,no_data,,,,,,,,
MAD,2013,WOTH,2561-88592,04/28/13,SY,U,3,102,46.3,MAWO35,-67.67,-40.37,MAWO35,-23.74,47.07,15.28,no_data,,,,,,,,
MAD,2013,WOTH,2561-88597,04/28/13,SY,U,2,97,42,MAWO36,-51.01,-22.76,MAWO36,-23.08,48.59,15.23,no_data,,,,,,,,
MAD,2013,WOTH,2641-63605,05/08/13,SY,U,1,105,41.2,MAWO37,-42.75,-14.02,MAWO37,-22.43,47.98,14.92,no_data,,,,,,,,
MAD,2013,WOTH,2411-64877,05/04/13,AHY,U,1,109,42.9,MAWO9a,-64.33,-33.4,MAWO9a,-23.1,44.95,14.28,no_data,,,,,,,,
MAD,2013,WOTH,2411-64877,05/04/13,AHY,U,1,109,42.9,MAWO9b,no_data,no_data,MAWO9b,-23.11,45.58,14.46,no_data,,,,,,,,
APP,2014,WOTH,189177118,04/16/14,SY,U,1,105,48.1,FAWO01a,-64.03,-23.81,CAWO01a,-23.23,47.13,15.22,11.16,,,,,,,,
APP,2014,WOTH,189177118,04/16/14,SY,U,1,105,48.1,FAWO01b,-63.38,-23.10,CAWO01b,no_data,no_data,no_data,no_data,,,,,,,,
APP,2014,WOTH,189177124,04/16/14,SY,U,4,104,47.6,FAWO02,-74.64,-35.29,CAWO02,-24.22,47.62,14.66,7.74,,,,,,,,
APP,2014,WOTH,189177158,04/19/14,SY,U,1,106,37.2,FAWO03a,-58.00,-17.29,CAWO03a,-23.38,47.54,14.80,7.80,,,,,,,,
APP,2014,WOTH,189177158,04/19/14,SY,U,1,106,37.2,FAWO03b,-57.83,-17.10,CAWO03b,no_data,no_data,no_data,no_data,,,,,,,,
APP,2014,WOTH,189177168,04/19/14,SY,U,0,105,38.3,FAWO04,-65.58,-25.48,CAWO04,-23.69,48.03,15.57,10.25,,,,,,,,
APP,2014,WOTH,189177187,04/20/14,SY,U,0,103,39.3,FAWO05a,-40.22,1.96,CAWO05a,-22.02,48.79,no_data,no_data,,,,,,,,
APP,2014,WOTH,189177187,04/20/14,SY,U,0,103,39.3,FAWO05b,-43.34,-1.41,CAWO05b,no_data,no_data,no_data,no_data,,,,,,,,
APP,2014,WOTH,189177190,04/20/14,SY,U,0,101,34.9,FAWO06,-58.56,-17.89,CAWO06,-23.40,45.81,no_data,no_data,,,,,,,,
APP,2014,WOTH,189177196,04/20/14,SY,U,0,108,45.5,FAWO07a,-72.05,-32.48,CAWO07a,no_data,no_data,no_data,no_data,,,,,,,,
APP,2014,WOTH,189177196,04/20/14,SY,U,0,108,45.5,FAWO07b,-69.81,-30.06,CAWO07b,-23.37,47.64,15.34,6.68,,,,,,,,
APP,2014,WOTH,264143920,04/23/14,ASY,U,0,108,41.5,FAWO08,-26.90,16.38,CAWO08,-24.01,48.34,15.34,8.11,,,,,,,,
APP,2014,WOTH,264143921,04/23/14,SY,U,1,105,42.7,FAWO09,no_data,no_data,CAWO09,-22.51,47.49,15.25,6.61,,,,,,,,
APP,2014,WOTH,264143922,04/24/14,SY,U,1,106,41.1,FAWO10,-69.10,-29.29,CAWO10,-24.07,38.83,12.38,7.78,,,,,,,,
APP,2014,WOTH,266104586,04/23/14,SY,U,2,110,42.2,FAWO11a,-62.27,-24.11,CAWO11a,-24.07,47.90,15.04,6.54,,,,,,,,
APP,2014,WOTH,266104586,04/23/14,SY,U,2,110,42.2,FAWO11b,-61.58,-23.36,CAWO11b,no_data,no_data,no_data,no_data,,,,,,,,
JOB,2014,WOTH,264175941,04/24/14,SY,U,3,104,41.9,FJWO01,-57.10,-21.21,CJWO01,-24.58,48.17,15.34,7.56,,,,,,,,
JOB,2014,WOTH,264175946,04/24/14,SY,U,2,108.5,46,FJWO02,-62.91,-27.65,CJWO02,-22.77,47.47,15.26,6.86,,,,,,,,
JOB,2014,WOTH,264175991,04/30/14,ASY,U,3,104,48.5,FJWO03a,-47.52,-10.57,CJWO03a,-23.51,47.71,15.14,8.02,,,,,,,,
JOB,2014,WOTH,264175991,04/30/14,ASY,U,3,104,48.5,FJWO03b,-43.89,-7.35,CJWO03b,no_data,no_data,no_data,no_data,,,,,,,,
JOB,2014,WOTH,264176188,03/25/14,ASY,U,1,101,35,FJWO04,-38.02,-1.02,CJWO04,-23.02,43.13,13.37,7.02,,,,,,,,
JOB,2014,WOTH,264176189,03/25/14,ASY,U,2,101,40.7,FJWO05a,-46.44,-10.09,CJWO05a,-25.20,46.59,14.95,5.97,,,,,,,,
JOB,2014,WOTH,264176189,03/25/14,ASY,U,2,101,40.7,FJWO05b,no_data,no_data,CJWO05b,-24.93,44.42,13.10,5.73,,,,,,,,
JOB,2014,WOTH,264176191,03/30/14,ASY,U,2,103.5,41.3,FJWO06,-39.91,-3.05,CJWO06,-21.93,47.97,15.06,8.73,,,,,,,,
JOB,2014,WOTH,264176192,04/02/14,ASY,U,2,108,45.9,FJWO07,-45.64,-9.23,CJWO07,-24.62,47.08,15.06,9.19,,,,,,,,
JOB,2014,WOTH,264176196,04/06/14,ASY,U,1,109.5,39.8,FJWO08,no_data,no_data,CJWO08,-23.07,47.77,15.44,6.48,,,,,,,,
JOB,2014,WOTH,264176199,04/08/14,AHY,U,1,102.5,42.4,FJWO09a,-51.37,-15.41,CJWO09a,-24.39,47.84,15.68,6.18,,,,,,,,
JOB,2014,WOTH,264176199,04/08/14,AHY,U,1,102.5,42.4,FJWO09b,no_data,no_data,CJWO09b,-24.29,48.13,15.37,6.00,,,,,,,,
JOB,2014,WOTH,264176200,04/08/14,AHY,U,1,103,39.5,FJWO10,-30.84,6.72,CJWO10,-23.98,46.79,14.88,7.33,,,,,,,,
JOB,2014,WOTH,264176201,04/09/14,AHY,U,1,108,39.9,FJWO11,-40.80,-4.02,CJWO11,-24.05,44.39,13.51,6.07,,,,,,,,
JOB,2014,WOTH,264176202,04/09/14,AHY,U,1,100.5,40.9,FJWO12,-47.06,-10.76,CJWO12,-23.58,46.88,15.04,7.49,,,,,,,,
JOB,2014,WOTH,264176203,04/09/14,AHY,U,2,106,47.6,FJWO13,-36.58,0.53,CJWO13,-24.36,47.56,15.28,5.06,,,,,,,,
JOB,2014,WOTH,264176212,04/15/14,ASY,U,1,106,43.8,FJWO14a,no_data,no_data,CJWO14a,-22.67,46.65,14.79,5.22,,,,,,,,
JOB,2014,WOTH,264176212,04/15/14,ASY,U,1,106,43.8,FJWO14b,no_data,no_data,CJWO14b,-22.99,47.49,14.71,5.43,,,,,,,,
JOB,2014,WOTH,264176220,04/16/14,AHY,U,3,106,50.8,FJWO15,-74.97,-40.84,CJWO15,-24.12,47.36,15.04,5.32,,,,,,,,
JOB,2014,WOTH,264176221,04/16/14,ASY,U,3,108,48.6,FJWO16,-55.70,-20.07,CJWO16,-24.90,35.00,11.31,6.29,,,,,,,,
JOB,2014,WOTH,264176222,04/16/14,ASY,U,3,105.5,43.5,FJWO17,-54.36,-18.63,CJWO17,-24.74,44.72,13.95,4.63,,,,,,,,
JOB,2014,WOTH,264176223,04/16/14,ASY,U,3,105,49,FJWO18,-55.01,-19.33,CJWO18,-23.47,43.72,13.65,7.31,,,,,,,,
JOB,2014,WOTH,264176232,04/16/14,AHY,U,1,102.5,42.2,FJWO19a,-68.43,-33.79,CJWO19a,-23.92,45.14,14.25,6.52,,,,,,,,
JOB,2014,WOTH,264176232,04/16/14,AHY,U,1,102.5,42.2,FJWO19b,no_data,no_data,CJWO19b,-23.78,45.82,14.55,6.43,,,,,,,,
JOB,2014,WOTH,264176234,04/16/14,ASY,U,1,107,44.2,FJWO20a,-48.71,-12.53,CJWO20a,-22.87,45.17,15.12,8.84,,,,,,,,
JOB,2014,WOTH,264176234,04/16/14,ASY,U,1,107,44.2,FJWO20b,-49.09,-12.95,CJWO20b,-22.76,45.29,15.20,8.87,,,,,,,,
JOB,2014,WOTH,264176235,04/16/14,ASY,U,1,108,38.5,FJWO21,-61.17,-25.97,CJWO21,-23.62,43.04,13.66,4.02,,,,,,,,
JOB,2014,WOTH,264176239,04/16/14,SY,U,1,102.5,37.7,FJWO22a,-58.96,-23.59,CJWO22a,-21.68,46.88,14.86,5.72,,,,,,,,
JOB,2014,WOTH,264176239,04/16/14,SY,U,1,102.5,37.7,FJWO22b,no_data,no_data,CJWO22b,-21.23,45.10,15.12,5.48,,,,,,,,
JOB,2014,WOTH,264176242,04/16/14,ASY,U,1,111.5,40.4,FJWO23a,-71.34,-36.93,CJWO23a,-23.67,45.51,14.41,7.19,,,,,,,,
JOB,2014,WOTH,264176242,04/16/14,ASY,U,1,111.5,40.4,FJWO23b,no_data,no_data,CJWO23b,-23.58,46.38,14.70,7.29,,,,,,,,
JOB,2014,WOTH,264176274,04/17/14,AHY,U,2,100.5,41,FJWO24,-62.84,-27.76,CJWO24,-23.29,42.17,12.92,5.40,,,,,,,,
JOB,2014,WOTH,264176275,04/17/14,AHY,U,1,102.5,38.2,FJWO25,-51.96,-16.04,CJWO25,-24.49,46.84,14.92,7.07,,,,,,,,
JOB,2014,WOTH,264176277,04/17/14,AHY,U,1,105.5,40.4,FJWO26a,-55.49,-19.84,CJWO26a,-22.96,43.53,13.13,7.92,,,,,,,,
JOB,2014,WOTH,264176277,04/17/14,AHY,U,1,105.5,40.4,FJWO26b,no_data,no_data,CJWO26b,-22.72,43.72,13.44,7.82,,,,,,,,
JOB,2014,WOTH,264176283,04/18/14,ASY,U,1,101.5,36.4,FJWO27,-57.23,-21.72,CJWO27,-22.98,45.56,14.48,7.04,,,,,,,,
JOB,2014,WOTH,264176289,04/19/14,AHY,U,1,104.5,37,FJWO28,-67.13,-32.39,CJWO28,-23.69,46.07,15.49,6.73,,,,,,,,
JOB,2014,WOTH,264176300,04/19/14,SY,U,1,103.5,38.6,FJWO29,-75.89,-41.82,CJWO29,-22.77,45.65,15.06,5.27,,,,,,,,
JOB,2014,WOTH,264176301,04/19/14,SY,U,2,102,41.1,FJWO30,-63.70,-28.69,CJWO30,-22.82,46.17,14.86,5.27,,,,,,,,
JOB,2014,WOTH,264176302,04/19/14,SY,U,2,106.5,44.5,FJWO31a,-60.97,-25.75,CJWO31a,-22.94,42.48,13.69,7.27,,,,,,,,
JOB,2014,WOTH,264176302,04/19/14,SY,U,2,106.5,44.5,FJWO31b,no_data,no_data,CJWO31b,-22.88,39.85,12.03,6.61,,,,,,,,
JOB,2014,WOTH,264176454,04/20/14,ASY,U,1,102,31.5,FJWO32a,-57.39,-21.89,CJWO32a,-24.10,45.13,14.82,7.41,,,,,,,,
JOB,2014,WOTH,264176454,04/20/14,ASY,U,1,102,31.5,FJWO32b,no_data,no_data,CJWO32b,-24.50,44.40,14.59,7.65,,,,,,,,
JOB,2014,WOTH,264176456,04/20/14,AHY,U,3,105.5,47.4,FJWO33,-65.88,-34.33,CJWO33,-23.51,50.45,16.20,8.05,,,,,,,,
JOB,2014,WOTH,264176460,04/20/14,AHY,U,1,103.5,41.8,FJWO34a,no_data,no_data,CJWO34a,-25.77,42.64,13.25,6.46,,,,,,,,
JOB,2014,WOTH,264176460,04/20/14,AHY,U,1,103.5,41.8,FJWO34b,no_data,no_data,CJWO34b,-25.52,44.57,13.85,6.21,,,,,,,,
JOB,2014,WOTH,264176461,04/20/14,AHY,U,1,103,37.7,FJWO35,-77.28,-46.82,CJWO35,-26.10,45.77,14.63,4.66,,,,,,,,
JOB,2014,WOTH,264176470,04/20/14,AHY,U,1,102,41,FJWO36,-72.38,-41.45,CJWO36,-23.28,45.36,14.87,8.73,,,,,,,,
JOB,2014,WOTH,264176478,04/20/14,ASY,U,2,108,39.7,FJWO37a,-72.95,-42.07,CJWO37a,-24.04,46.17,14.38,8.01,,,,,,,,
JOB,2014,WOTH,264176478,04/20/14,ASY,U,2,108,39.7,FJWO37b,no_data,no_data,CJWO37b,-23.90,46.63,14.48,7.87,,,,,,,,
JOB,2014,WOTH,264176508,04/20/14,ASY,U,1,110,39.9,FJWO38a,-58.67,-26.43,CJWO38a,-20.72,43.69,13.54,8.21,,,,,,,,
JOB,2014,WOTH,264176508,04/20/14,ASY,U,1,110,39.9,FJWO38b,no_data,no_data,CJWO38b,-20.75,44.35,13.63,8.15,,,,,,,,
JOB,2014,WOTH,264176509,04/20/14,ASY,U,3,110,46.7,FJWO39,-59.16,-26.97,CJWO39,-23.63,45.42,14.41,6.68,,,,,,,,
JOB,2014,WOTH,264176512,04/20/14,SY,U,1,101,37.1,FJWO40,-58.28,-26.00,CJWO40,-24.65,44.75,14.03,7.41,,,,,,,,
JOB,2014,WOTH,264176515,04/20/14,SY,U,1,107,38.2,FJWO41,no_data,no_data,CJWO41,-23.34,43.49,13.67,5.68,,,,,,,,
JOB,2014,WOTH,264176516,04/20/14,ASY,U,1,109,38.1,FJWO42,-57.41,-25.05,CJWO42,-23.23,46.64,15.07,7.58,,,,,,,,
JOB,2014,WOTH,264176520,04/20/14,AHY,U,1,111,44.3,FJWO43a,-65.57,-33.99,CJWO43a,-23.09,47.16,14.89,6.63,,,,,,,,
JOB,2014,WOTH,264176520,04/20/14,AHY,U,1,111,44.3,FJWO43b,no_data,no_data,CJWO43b,-22.99,47.20,14.87,6.60,,,,,,,,
JOB,2014,WOTH,264176521,04/20/14,AHY,U,1,103.5,34.6,FJWO44,-60.13,-28.02,CJWO44,-21.86,46.90,14.59,6.79,,,,,,,,
JOB,2014,WOTH,264176536,04/20/14,AHY,U,1,104,34.7,FJWO45a,-50.86,-17.88,CJWO45a,-23.85,42.06,13.21,7.69,,,,,,,,
JOB,2014,WOTH,264176536,04/20/14,AHY,U,1,104,34.7,FJWO45b,-50.86,-17.88,CJWO45b,-23.73,44.55,14.72,7.48,,,,,,,,
JOB,2014,WOTH,264176542,04/21/14,AHY,U,3,99,45.1,FJWO46,-54.62,-21.99,CJWO46,-22.08,45.39,14.84,5.96,,,,,,,,
JOB,2014,WOTH,264176544,04/21/14,ASY,U,1,111,36.9,FJWO47,-57.61,-25.26,CJWO47,-23.83,46.62,14.96,7.39,,,,,,,,
JOB,2014,WOTH,264176546,04/21/14,AHY,U,1,102,35.1,FJWO48,no_data,no_data,CJWO48,-23.63,47.26,15.25,8.01,,,,,,,,
JOB,2014,WOTH,264176552,04/21/14,AHY,U,3,101,40.4,FJWO49,-53.32,-20.57,CJWO49,-23.11,47.02,14.79,5.42,,,,,,,,
JOB,2014,WOTH,264176554,04/22/14,AHY,U,1,104,40.3,FJWO50a,-52.58,-19.76,CJWO50a,-24.13,46.28,15.04,7.09,,,,,,,,
JOB,2014,WOTH,264176554,04/22/14,AHY,U,1,104,40.3,FJWO50b,no_data,no_data,CJWO50b,-24.03,45.78,15.20,7.28,,,,,,,,
JOB,2014,WOTH,264176555,04/22/14,ASY,U,1,103.5,39.6,FJWO51,-41.25,-7.35,CJWO51,-23.25,46.84,14.83,4.86,,,,,,,,
JOB,2014,WOTH,264176571,04/22/14,SY,U,2,103,45,FJWO52,-68.31,-36.99,CJWO52,-23.48,45.21,14.12,6.78,,,,,,,,
JOB,2014,WOTH,264176578,04/22/14,SY,U,2,102,44.6,FJWO53a,-81.27,-51.18,CJWO53a,-23.64,47.02,14.92,6.20,,,,,,,,
JOB,2014,WOTH,264176578,04/22/14,SY,U,2,102,44.6,FJWO53b,no_data,no_data,CJWO53b,-23.56,46.22,15.01,6.22,,,,,,,,
JOB,2014,WOTH,264176584,04/22/14,AHY,U,1,101.5,41.6,FJWO54,no_data,no_data,CJWO54,-23.36,46.56,15.10,6.11,,,,,,,,
JOB,2014,WOTH,264187006,05/02/14,AHY,U,1,102,39.3,FJWO55,-76.50,-45.96,CJWO55,-23.41,47.30,14.89,6.24,,,,,,,,
JOB,2014,WOTH,264187037,05/07/14,ASY,U,3,104,50.6,FJWO56a,-84.23,-54.42,CJWO56a,-23.90,47.92,15.20,6.85,,,,,,,,
JOB,2014,WOTH,264187037,05/07/14,ASY,U,3,104,50.6,FJWO56b,-84.23,-54.42,CJWO56b,-24.18,46.09,16.18,6.48,,,,,,,,
MAD,2014,WOTH,2331-40802,04/17/14,SY,U,0,106,35.0,FMWO01a,-72.63,-31.81,CMWO01a,-23.59,46.20,14.73,7.17,,,,,,,,
MAD,2014,WOTH,2331-40816,04/18/14,SY,U,0,108,37.8,FMWO02a,-59.83,-17.84,CMWO02a,-24.21,47.46,15.07,5.46,,,,,,,,
